epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99
11.35,38.63,50.74,61.2,80.72,87.28,90.93,91.51,94.9,95.76,95.79,96.25,96.83,97.11,96.99,96.52,97.2,97.14,97.1,97.46,97.19,97.42,97.35,97.56,97.47,97.38,97.85,97.71,97.57,97.23,97.48,97.71,97.73,97.75,97.91,97.61,98.04,97.78,98.0,97.9,98.04,97.99,97.87,97.98,98.14,98.03,97.99,98.01,97.86,97.88,97.97,97.85,98.19,98.19,97.92,98.01,98.04,98.2,97.96,97.99,98.04,98.09,98.01,98.16,98.13,98.06,98.21,98.1,98.14,98.11,97.96,98.15,98.06,98.17,98.06,97.78,97.91,97.88,98.03,98.02,97.91,97.85,97.87,98.14,97.97,97.87,97.77,97.89,97.91,97.98,97.9,97.96,98.04,98.11,98.01,98.06,97.84,97.89,98.0,97.94
13.15,29.0,56.8,58.2,73.44,82.21,86.7,85.7,87.49,89.44,88.84,88.94,88.44,89.29,88.54,87.94,88.89,87.89,89.09,88.94,88.54,89.29,89.29,89.84,88.79,89.49,89.09,89.79,88.89,87.14,89.19,88.49,87.99,88.44,88.54,88.29,88.04,88.64,89.14,88.39,89.14,89.84,89.74,90.08,90.43,90.63,90.13,89.64,88.74,89.69,89.44,88.84,89.19,89.29,90.23,88.99,90.83,89.64,89.84,90.23,89.64,90.98,90.63,90.93,91.23,91.08,89.64,89.84,90.18,89.64,89.09,89.04,89.49,90.08,90.78,89.84,90.38,89.19,89.79,89.59,89.74,89.49,90.03,89.74,90.58,90.53,88.59,89.69,88.99,89.69,88.79,89.14,89.39,89.74,89.94,89.79,89.64,90.53,90.28,89.59
16.58,20.66,14.24,31.02,34.49,45.31,54.09,55.53,63.69,66.11,68.91,68.35,69.99,71.62,72.68,73.16,74.67,72.6,74.54,74.73,74.77,76.61,76.23,76.66,77.4,76.72,76.8,75.77,76.93,76.36,77.07,77.12,77.4,77.97,77.62,77.8,76.76,76.56,77.82,77.2,77.95,77.69,78.42,78.02,76.31,77.91,77.56,75.73,77.94,77.85,77.5,78.79,76.96,77.82,76.78,75.87,76.93,76.31,76.91,77.34,75.84,77.28,77.49,77.37,78.26,77.02,75.69,76.09,77.37,75.71,75.91,75.85,76.26,75.54,76.07,77.42,76.79,76.59,76.89,76.38,77.24,77.49,78.6,77.54,77.86,76.33,76.05,75.98,75.49,76.54,77.08,77.25,77.61,77.4,77.4,77.21,76.76,77.78,76.38,76.6
9.75,12.5,14.65,17.05,18.75,21.35,22.95,29.2,29.9,30.5,31.4,31.8,32.9,34.75,37.45,37.1,38.7,40.4,39.4,38.85,40.6,42.2,39.5,41.4,39.5,41.4,43.75,41.15,43.7,43.15,43.3,43.9,44.05,43.9,46.45,44.85,46.0,44.0,46.25,48.05,48.35,46.9,48.75,49.7,45.25,48.45,49.7,47.95,50.05,48.15,50.7,50.05,50.15,49.9,48.9,48.85,50.4,51.35,52.0,52.1,51.05,51.9,52.15,52.5,52.75,50.75,51.5,52.8,52.75,49.8,49.65,50.5,51.65,52.1,51.85,54.45,53.2,54.5,53.8,52.9,55.5,53.65,54.0,55.15,55.35,54.4,55.05,53.9,55.6,53.4,52.0,52.9,53.4,55.8,54.45,55.15,54.65,52.95,52.7,53.85
