epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99
18.04,22.23,21.38,23.97,24.55,22.41,24.15,23.21,24.24,24.24,26.21,26.16,26.61,26.29,27.28,27.32,26.47,25.67,26.07,26.7,27.1,27.23,26.25,26.47,27.01,25.89,25.58,26.25,25.62,26.97,26.65,26.03,26.47,26.43,26.92,26.65,27.1,26.74,27.41,27.14,26.7,26.79,26.61,26.16,25.8,25.85,26.52,26.38,26.12,26.61,26.34,26.16,25.98,26.61,26.38,26.61,26.25,26.16,25.98,26.61,26.61,26.43,26.38,26.56,26.56,26.74,26.83,26.88,26.47,26.7,26.65,26.43,25.98,26.25,26.34,25.94,26.21,26.07,25.98,26.25,26.3,26.34,26.29,26.52,26.56,26.52,26.56,26.7,26.43,26.43,26.2,26.52,26.43,26.21,26.12,26.12,26.65,26.7,26.25,25.76
21.58,25.11,24.58,24.58,28.37,24.84,26.84,28.58,29.16,28.79,31.47,30.74,31.9,32.79,32.1,32.37,32.79,31.42,31.74,32.79,32.63,32.53,32.84,32.26,32.79,31.26,31.16,32.0,33.05,33.0,33.21,30.84,31.53,32.42,32.95,33.0,32.68,33.0,32.63,33.47,32.89,33.95,34.11,33.58,33.1,33.21,33.47,33.37,33.37,33.42,32.74,33.42,32.74,32.95,32.68,33.32,31.05,31.79,32.84,33.05,33.05,32.69,32.53,33.16,32.84,32.26,33.21,32.79,33.21,33.0,33.37,32.84,32.53,31.95,32.11,33.0,33.21,33.32,33.37,33.37,33.53,33.16,33.53,33.37,33.63,33.16,33.05,32.84,33.42,33.27,33.42,33.53,33.58,33.68,33.74,33.37,33.16,33.48,33.21,33.05
13.45,19.31,21.72,23.45,25.86,27.93,25.52,25.17,24.83,23.79,26.38,27.24,26.55,25.86,26.72,26.72,27.07,24.31,26.9,25.69,26.38,26.73,26.9,26.03,25.69,27.24,25.69,26.55,25.17,26.21,26.55,27.41,26.72,26.38,26.55,26.38,25.86,26.03,25.69,25.69,26.55,26.03,26.21,26.38,25.34,26.38,25.69,26.03,26.03,26.21,26.21,26.21,26.21,25.52,26.21,26.04,26.04,25.34,25.86,25.69,26.55,26.21,27.24,26.21,26.38,26.03,26.9,26.55,26.03,27.59,26.72,26.21,25.69,25.69,25.69,25.86,25.69,25.69,25.69,25.69,25.86,26.03,26.03,26.03,26.21,26.21,26.03,26.04,25.69,25.86,26.21,26.03,25.69,25.86,25.86,24.48,26.38,26.21,25.34,26.21
17.67,21.67,31.67,34.0,36.67,34.67,36.33,34.33,36.0,37.0,36.34,37.0,37.33,37.0,36.33,37.33,34.33,34.33,34.67,36.0,37.0,35.33,35.0,36.0,36.33,35.33,36.33,33.33,35.33,35.0,34.33,35.0,35.34,35.0,35.33,35.0,36.33,36.0,35.33,35.0,34.33,34.67,35.33,34.67,35.33,35.0,35.33,35.33,35.33,35.67,35.67,36.0,34.67,35.0,34.67,36.0,35.67,35.67,35.67,36.33,36.0,36.0,36.0,35.33,34.0,34.67,34.67,35.33,35.0,34.0,35.33,35.0,35.33,36.0,36.67,35.67,37.0,36.33,36.67,37.0,36.67,36.33,36.33,36.66,35.33,35.67,36.33,36.0,37.0,37.0,36.0,36.0,36.67,36.33,36.0,35.67,36.33,36.33,38.0,36.67
