epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99
13.84,31.7,37.5,44.64,46.43,50.89,49.11,50.45,52.23,50.45,53.12,55.36,57.14,53.12,59.38,54.91,60.27,55.8,60.27,58.48,59.82,58.04,59.38,59.82,60.71,62.05,60.27,59.82,62.95,61.61,59.82,61.61,62.95,62.95,61.61,62.05,62.05,61.16,62.05,63.84,63.39,61.61,62.5,61.61,61.61,62.95,63.39,62.5,63.84,62.05,64.73,59.82,60.71,63.39,63.84,64.73,63.39,62.5,62.05,62.05,62.5,62.5,61.61,61.16,63.84,62.5,64.29,61.61,64.73,63.39,61.61,62.05,62.5,63.39,64.29,64.29,64.73,65.62,65.18,65.62,63.39,63.84,63.84,64.29,58.48,63.84,65.62,65.18,66.07,65.62,65.62,66.07,66.52,66.07,66.07,66.96,65.18,66.96,66.52,66.52
16.32,39.47,45.79,58.42,61.58,66.84,63.68,68.42,69.47,61.58,71.05,73.68,75.79,72.63,70.0,74.74,78.95,73.68,71.58,75.79,74.21,77.37,74.21,73.68,77.37,75.79,78.95,78.42,71.05,81.58,78.42,77.89,76.84,76.32,76.84,77.89,76.84,78.42,76.32,80.53,77.89,78.42,81.05,79.47,80.53,80.0,78.42,79.47,80.53,80.53,82.11,82.11,80.0,81.05,80.53,80.53,81.58,81.05,80.53,78.95,81.05,81.05,81.05,78.42,80.53,74.74,78.95,78.95,81.05,80.0,78.42,80.53,81.05,79.47,79.47,80.53,80.0,80.53,81.05,81.05,81.05,80.53,80.53,81.05,79.47,80.0,80.53,80.53,81.05,80.53,81.05,81.05,81.05,81.58,80.53,81.05,80.53,81.05,81.05,81.05
13.79,15.52,13.79,20.69,34.48,31.03,27.59,39.66,34.48,25.86,36.21,34.48,34.48,41.38,29.31,36.21,34.48,34.48,29.31,44.83,41.38,25.86,46.55,29.31,46.55,32.76,27.59,44.83,46.55,34.48,39.66,50.0,41.38,37.93,46.55,48.28,48.28,46.55,46.55,41.38,39.66,43.1,48.28,48.28,46.55,50.0,48.28,55.17,50.0,50.0,51.72,48.28,44.83,51.72,53.45,51.72,44.83,51.72,51.72,51.72,50.0,51.72,48.28,41.38,50.0,55.17,48.28,53.45,53.45,55.17,44.83,51.72,51.72,53.45,53.45,50.0,56.9,53.45,53.45,55.17,46.55,53.45,56.9,51.72,55.17,50.0,50.0,50.0,51.72,53.45,51.72,51.72,51.72,50.0,50.0,50.0,50.0,51.72,51.72,50.0
26.67,13.33,6.67,26.67,36.67,33.33,36.67,30.0,33.33,36.67,26.67,23.33,30.0,36.67,26.67,30.0,30.0,30.0,33.33,36.67,26.67,30.0,30.0,23.33,33.33,30.0,30.0,36.67,30.0,33.33,33.33,33.33,33.33,36.67,33.33,26.67,36.67,40.0,33.33,33.33,43.33,40.0,43.33,43.33,40.0,46.67,43.33,43.33,46.67,46.67,46.67,33.33,40.0,43.33,46.67,43.33,46.67,43.33,46.67,43.33,46.67,43.33,46.67,43.33,46.67,50.0,46.67,50.0,43.33,43.33,50.0,40.0,43.33,46.67,43.33,43.33,46.67,43.33,46.67,46.67,53.33,50.0,53.33,50.0,43.33,43.33,46.67,46.67,46.67,43.33,46.67,50.0,50.0,46.67,46.67,53.33,53.33,50.0,50.0,50.0
