epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99
16.07,35.27,39.29,39.73,48.21,49.55,51.34,49.11,53.12,52.23,51.34,53.57,52.23,54.02,57.59,51.34,56.7,56.7,50.89,53.57,56.25,54.02,54.02,58.48,57.14,55.36,56.25,53.57,60.27,53.57,57.14,55.8,57.14,57.59,55.36,55.8,55.36,57.14,57.59,54.46,54.91,56.25,55.8,58.04,58.04,59.82,58.48,57.59,58.48,55.8,57.59,58.93,59.38,59.38,58.04,57.14,58.04,59.38,56.25,58.04,58.93,56.25,58.48,57.59,58.93,58.48,59.82,58.48,58.93,58.48,58.48,57.59,59.82,57.59,59.38,61.61,58.93,59.82,58.93,61.16,60.71,60.27,60.27,60.27,56.25,60.27,58.48,58.48,58.93,57.59,58.04,59.82,58.93,58.93,59.38,60.27,61.16,59.38,61.61,60.27
15.26,40.53,53.16,56.84,66.84,66.84,70.0,66.32,63.68,66.32,74.21,64.74,65.79,67.89,70.53,64.21,67.37,67.37,69.47,66.32,65.79,68.95,66.84,71.05,68.42,71.05,70.0,67.37,71.05,72.63,72.63,69.47,70.0,71.05,73.16,70.53,68.42,74.74,73.68,69.47,70.53,69.47,71.58,72.63,76.32,68.95,72.11,72.63,70.0,74.21,73.16,78.95,74.74,76.32,70.53,74.21,73.68,71.05,76.84,67.89,75.79,77.89,76.32,72.11,76.32,73.68,75.79,76.32,76.32,72.11,73.68,74.74,74.21,74.74,76.32,76.32,76.32,74.74,76.32,78.42,72.63,77.89,72.11,74.74,70.0,71.58,72.63,72.63,74.74,72.11,73.16,73.68,74.21,75.79,72.11,75.26,73.68,74.74,74.21,74.21
17.24,12.07,27.59,32.76,37.93,36.21,34.48,39.66,37.93,31.03,39.66,41.38,36.21,34.48,31.03,34.48,37.93,36.21,34.48,34.48,34.48,39.66,32.76,39.66,36.21,39.66,39.66,36.21,37.93,29.31,37.93,36.21,41.38,43.1,32.76,43.1,29.31,34.48,31.03,39.66,39.66,37.93,43.1,46.55,41.38,48.28,51.72,39.66,48.28,48.28,41.38,48.28,53.45,44.83,46.55,37.93,39.66,32.76,34.48,43.1,48.28,37.93,41.38,46.55,43.1,41.38,44.83,44.83,36.21,46.55,44.83,41.38,46.55,41.38,36.21,48.28,51.72,48.28,44.83,48.28,48.28,43.1,51.72,48.28,51.72,50.0,48.28,53.45,50.0,55.17,53.45,51.72,53.45,48.28,50.0,55.17,55.17,48.28,50.0,51.72
23.33,26.67,26.67,26.67,26.67,33.33,26.67,20.0,30.0,33.33,30.0,26.67,40.0,33.33,30.0,26.67,30.0,30.0,23.33,30.0,40.0,36.67,20.0,30.0,20.0,23.33,33.33,30.0,30.0,33.33,26.67,33.33,30.0,33.33,33.33,30.0,30.0,43.33,33.33,36.67,26.67,30.0,26.67,26.67,33.33,33.33,36.67,33.33,30.0,36.67,36.67,36.67,33.33,30.0,36.67,43.33,40.0,36.67,40.0,36.67,33.33,26.67,30.0,26.67,33.33,36.67,33.33,40.0,26.67,36.67,33.33,36.67,40.0,30.0,33.33,33.33,26.67,33.33,23.33,33.33,40.0,36.67,33.33,33.33,33.33,23.33,26.67,26.67,30.0,33.33,33.33,33.33,33.33,33.33,40.0,36.67,40.0,40.0,36.67,36.67
